Ticker,Last_Update,Earliest_Record,Name
BO,,,Soybean Oil 
BZ,,,Crude Oil Brent Last Day 
C,,,Corn 
CB,,,Butter-Cash Settled 
CC,,,Cocoa 
CJ,,,Cocoa 
CL,,,Crude Oil 
CT,,,Cotton #2 
DC,,,Milk Class Iii 
DY,,,Dry Whey 
EH,,,Denatured Fuel Ethanol 
FC,,,Feeder Cattle 
GC,,,Gold 
GDK,,,Milk Class Iv 
GF,,,Feeder Cattle 
GNF,,,Nonfat Dry Milk 
HE,,,Lean Hogs 
HG,,,Copper 
HO,,,Heating Oil 
KC,,,Coffee 
KE,,,Hard Red Winter Wheat 
KT,,,Coffee 
KW,,,Hard Red Winter Wheat 
LB,,,Lumber (random Length) 
LBS,,,Lumber (random Length) 
LC,,,Live Cattle 
LE,,,Live Cattle 
LH,,,Lean Hogs 
MME,,,Msci Emerging Markets 
MWE,,,Hard Red Spring Wheat 
NG,,,Natural Gas 
NN,,,Henry Hub Natural Gas Swap 
O,,,Oats 
OJ,,,Orange Juice-A 
PA,,,Palladium 
PL,,,Platinum 
QC,,,Copper (e-mini) 
QG,,,Natural Gas (e-mini) 
QI,,,Miny Silver 
QM,,,Crude Oil (e-mini) 
QO,,,Miny Gold 
RB,,,Rbob Gasoline 
RR,,,Rough Rice 
S,,,Soybeans 
SB,,,Sugar #11-world 
SF,,,Sugar #16 
SI,,,Silver 
SM,,,Soybean Meal 
TT,,,Cotton 
UX,,,Uranium U308 
W,,,Wheat 
XAGUSDO,,,Silver Spot 
XAUUSDO,,,Gold Spot 
XC,,,Corn (mini) 
XK,,,Soybean (mini) 
XPDUSDO,,,Palladium Spot 
XPTUSDO,,,Platinum Spot 
XSN,,,Silver 1000 Oz (e-mini) 
XW,,,Wheat (mini) 
YC,,,Corn (mini) 
YG,,,Gold (mini) 
YI,,,Sized Silver (mini) 
YK,,,Soybean (mini) 
YO,,,Sugar #11 
YW,,,Wheat (mini) 
ZC,,,Corn 
ZG,,,Gold 100 Oz 
ZI,,,Silver 5000 Oz 
ZL,,,Soybean Oil 
ZM,,,Soybean Meal 
ZO,,,Oats 
ZR,,,Rough Rice 
ZS,,,Soybeans 
ZW,,,Wheat 
B0,,,Mont Belvieu Ldh Propane (opis)
GLD,,,Gold Trust
