Ticker,Last_Update,Earliest_Record,Name
BET,,,Bucharest Exchange Trading
VBMFX,,,Vanguard Total Bond Market Index Fund Investor Shares
VFIAX,,,Vanguard 500 Idx
SPY,,,SPDR S&P 500 ETF
VTSAX,,,Vanguard TSM Idx
FXAIX,,,Fidelity 500 Index Fund
IVV,,,iShares:Core S&P 500
VSMPX,,,Vanguard TSM Idx
FDRXX,,,Fidelity Govt Cash Rsrvs
VMFXX,,,Vanguard Fed MM
VGTSX,,,Vanguard Tot I S
VITSX,,,Vanguard TSM Idx
VTSMX,,,Vanguard TSM Idx
VTI,,,Vanguard TSM Idx
VOO,,,Vanguard 500 Idx
VTPSX,,,Vanguard Tot I S
VTBIX,,,Vanguard Tot Bd II
VIIIX,,,Vanguard Instl Indx
VBTLX,,,Vanguard Tot Bd
FGTXX,,,Goldman:FS Govt
VMMXX,,,Vanguard Prime MM
TFDXX,,,BlkRk Lq:FedFund
VINIX,,,Vanguard Instl Indx
FRGXX,,,Fidelity IMM:Govt
FCNTX,,,Fidelity Contrafund
VWENX,,,Vanguard Wellington
VT,,,VANGUARD INTL E/TOTAL WORLD
DBC,,,PowerShares DB Com
VIPSX,,,Vanguard Inflation-Protected Securities 
PIGLX,,,PIMCO Global Bond Opportunities 
